index,name,imdb_url,screentime,episodes,portrayed_by_name,portrayed_by_imdb_url
0,Tyrion Lannister,http://www.imdb.com/character/ch0146096/,293.3,54,Peter Dinklage,http://www.imdb.com/name/nm0227759/
1,Jon Snow,http://www.imdb.com/character/ch0155777/,268.15,49,Kit Harington,http://www.imdb.com/name/nm3229685/
2,Daenerys Targaryen,http://www.imdb.com/character/ch0158597/,221.3,49,Emilia Clarke,http://www.imdb.com/name/nm3592338/
3,Cersei Lannister,http://www.imdb.com/character/ch0159526/,201.45,52,Lena Headey,http://www.imdb.com/name/nm0372176/
4,Sansa Stark,http://www.imdb.com/character/ch0158137/,199.3,47,Sophie Turner,http://www.imdb.com/name/nm3849842/
5,Arya Stark,http://www.imdb.com/character/ch0158604/,189.15,47,Maisie Williams,http://www.imdb.com/name/nm3586035/
6,Jaime Lannister,http://www.imdb.com/character/ch0158527/,162.3,43,Nikolaj Coster-Waldau,http://www.imdb.com/name/nm0182666/
7,Theon Greyjoy,http://www.imdb.com/character/ch0158526/,123.3,39,Alfie Allen,http://www.imdb.com/name/nm0654295/
8,Samwell Tarly,http://www.imdb.com/character/ch0244961/,121.45,37,John Bradley,http://www.imdb.com/name/nm4263213/
9,Jorah Mormont,http://www.imdb.com/character/ch0158221/,117.3,42,Iain Glen,http://www.imdb.com/name/nm0322513/
10,Petyr 'Littlefinger' Baelish,http://www.imdb.com/character/ch0245982/,102.15,35,Aidan Gillen,http://www.imdb.com/name/nm0318821/
11,Eddard 'Ned' Stark,http://www.imdb.com/character/ch0154681/,99.45,16,Sean Bean,http://www.imdb.com/name/nm0000293/
12,Brienne of Tarth,http://www.imdb.com/character/ch0254503/,89.3,32,Gwendoline Christie,http://www.imdb.com/name/nm3729225/
13,Davos Seaworth,http://www.imdb.com/character/ch0255396/,89.3,29,Liam Cunningham,http://www.imdb.com/name/nm0192377/
14,Bran Stark,http://www.imdb.com/character/ch0234897/,86.0,30,Isaac Hempstead Wright,http://www.imdb.com/name/nm3652842/
15,Catelyn Stark,http://www.imdb.com/character/ch0145135/,82.45,26,Michelle Fairley,http://www.imdb.com/name/nm0265610/
16,Lord Varys,http://www.imdb.com/character/ch0249636/,81.45,36,Conleth Hill,http://www.imdb.com/name/nm0384152/
17,Tywin Lannister,http://www.imdb.com/character/ch0242185/,78.15,27,Charles Dance,http://www.imdb.com/name/nm0001097/
18,Margaery Tyrell,http://www.imdb.com/character/ch0251974/,78.0,26,Natalie Dormer,http://www.imdb.com/name/nm1754059/
19,Robb Stark,http://www.imdb.com/character/ch0158596/,77.45,21,Richard Madden,http://www.imdb.com/name/nm0534635/
20,Stannis Baratheon,http://www.imdb.com/character/ch0250897/,73.15,24,Stephen Dillane,http://www.imdb.com/name/nm0226820/
21,Sandor 'The Hound' Clegane,http://www.imdb.com/character/ch0162882/,72.45,29,Rory McCann,http://www.imdb.com/name/nm0564920/
22,Joffrey Baratheon,http://www.imdb.com/character/ch0156278/,70.15,26,Jack Gleeson,http://www.imdb.com/name/nm0322416/
23,Ramsay Bolton,http://www.imdb.com/character/ch0321004/,66.0,20,Iwan Rheon,http://www.imdb.com/name/nm3701064/
24,Melisandre,http://www.imdb.com/character/ch0287523/,65.45,26,Carice van Houten,http://www.imdb.com/name/nm0396924/
25,Bronn,http://www.imdb.com/character/ch0241345/,64.0,29,Jerome Flynn,http://www.imdb.com/name/nm0283492/
26,Gilly,http://www.imdb.com/character/ch0306819/,52.0,21,Hannah Murray,http://www.imdb.com/name/nm2356940/
27,Ygritte,http://www.imdb.com/character/ch0304492/,51.0,17,Rose Leslie,http://www.imdb.com/name/nm3310211/
28,Shae,http://www.imdb.com/character/ch0250564/,47.15,20,Sibel Kekilli,http://www.imdb.com/name/nm1402546/
29,Daario Naharis,http://www.imdb.com/character/ch0335040/,46.0,21,Ed Skrein,http://www.imdb.com/name/nm4534098/
30,Missandei,http://www.imdb.com/character/ch0316923/,45.45,29,Nathalie Emmanuel,http://www.imdb.com/name/nm2812026/
31,Tommen Baratheon,http://www.imdb.com/character/ch0256424/,43.15,24,Callum Wharry,http://www.imdb.com/name/nm4422626/
32,Tormund Giantsbane,http://www.imdb.com/character/ch0316925/,41.45,24,Kristofer Hivju,http://www.imdb.com/name/nm1970465/
33,Podrick Payne,http://www.imdb.com/character/ch0306046/,41.15,26,Daniel Portman,http://www.imdb.com/name/nm4535552/
34,Olenna Tyrell,http://www.imdb.com/character/ch0010188/,38.15,16,Diana Rigg,http://www.imdb.com/name/nm0001671/
35,High Sparrow,http://www.imdb.com/character/ch0476559/,37.3,12,Jonathan Pryce,http://www.imdb.com/name/nm0000596/
36,Barristan Selmy,http://www.imdb.com/character/ch0241346/,37.15,25,Ian McElhinney,http://www.imdb.com/name/nm0568400/
37,Grand Maester Pycelle,http://www.imdb.com/character/ch0232836/,35.15,31,Julian Glover,http://www.imdb.com/name/nm0002103/
38,Loras Tyrell,http://www.imdb.com/character/ch0231428/,33.0,20,Finn Jones,http://www.imdb.com/name/nm3645691/
39,Grey Worm,http://www.imdb.com/character/ch0335038/,32.15,24,Jacob Anderson,http://www.imdb.com/name/nm2760664/
40,Talisa Maegyr,http://www.imdb.com/character/ch0305007/,30.45,12,Oona Chaplin,http://www.imdb.com/name/nm2772105/
